Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00254249, 0.00012257, 0.000162962, 7.3604e-05, 1170, 670, 3213
0.000336748, 0.000129043, 0.000205236, 6.1603e-05, 1209, 705, 2565
0.000273044, 0.000118257, 0.000153678, 4.6628e-05, 1234, 675, 2754
0.000273582, 0.000122673, 0.000149397, 4.3544e-05, 1245, 654, 1998
0.000458911, 0.000196432, 0.00025925, 8.315e-05, 1272, 651, 2457
0.00835103, 0.000144877, 0.000213748, 8.7057e-05, 1265, 696, 3618
0.000221959, 8.8076e-05, 0.000130116, 4.0124e-05, 1184, 663, 3348
0.00036095, 0.000130418, 0.000228312, 6.7894e-05, 1144, 660, 2808
0.000466102, 0.000197883, 0.000265735, 8.0817e-05, 1104, 583, 2241
0.000348754, 0.000124145, 0.000222544, 6.9354e-05, 1157, 675, 2943
0.00140808, 7.3256e-05, 0.000103092, 3.9323e-05, 1210, 635, 3186
0.000178694, 6.533e-05, 0.000112366, 3.3356e-05, 1255, 735, 2700
0.000240735, 9.7473e-05, 0.000141692, 4.1758e-05, 1307, 648, 2511
0.00190563, 0.000154296, 0.00022985, 0.000101053, 1262, 726, 4671
0.000522736, 0.00021812, 0.000301062, 8.8678e-05, 1231, 710, 2673
0.000399295, 0.000152777, 0.000242339, 6.9456e-05, 1229, 782, 2646
0.000457499, 0.000197867, 0.000257698, 7.7724e-05, 1182, 700, 2484
0.00300954, 0.000143096, 0.000203574, 7.4096e-05, 1159, 769, 2673
0.000350441, 0.000160566, 0.000188226, 5.472e-05, 1171, 775, 2430
0.000277372, 0.000113046, 0.000163145, 4.6638e-05, 1126, 785, 2700
0.00192417, 0.000118868, 0.000253102, 9.2001e-05, 1099, 725, 4509
0.000425085, 0.000171958, 0.000251598, 7.644e-05, 1095, 770, 2673
0.000381171, 0.000138996, 0.000237492, 6.8728e-05, 1116, 765, 2700
0.00529272, 7.2352e-05, 0.000112632, 4.8261e-05, 1115, 796, 3753
0.000419832, 0.00017537, 0.000242114, 7.1931e-05, 1080, 706, 1944
0.000488583, 0.000200797, 0.000285358, 8.9024e-05, 1087, 717, 2646
0.000305318, 0.000162369, 0.000140858, 3.8356e-05, 1126, 724, 2511
0.000281346, 0.000118831, 0.000161052, 4.5569e-05, 1166, 719, 2862
0.0022029, 7.5548e-05, 0.000119587, 6.7206e-05, 1203, 655, 4752
0.000365438, 0.00013122, 0.000231838, 6.9131e-05, 1215, 655, 2754
0.000215472, 7.9978e-05, 0.000131848, 4.2079e-05, 1121, 631, 2997
0.000350656, 0.000130789, 0.000215599, 7.1822e-05, 949, 634, 2943
0.00392142, 0.000220052, 0.000301321, 0.000150854, 894, 659, 4077
0.000447824, 0.000142688, 0.000303143, 6.5406e-05, 880, 657, 2484
0.000260639, 0.000100299, 0.00015908, 5.0171e-05, 902, 666, 2862
0.00163236, 0.000103687, 0.000139113, 7.3158e-05, 915, 642, 4644
0.000337781, 0.000124336, 0.000210552, 6.2974e-05, 1057, 690, 2430
0.000507402, 0.000201888, 0.000303545, 0.000101894, 1164, 669, 3132
0.000376978, 0.000145444, 0.000228887, 7.2793e-05, 1103, 675, 2619
0.0025337, 0.000111705, 0.000223608, 0.000105115, 1084, 702, 5022
0.000289108, 0.000131469, 0.00015589, 4.6493e-05, 1044, 641, 2322
0.000227234, 0.000100479, 0.000124655, 3.6539e-05, 1005, 642, 2133
0.00015657, 6.0757e-05, 9.4304e-05, 3.0383e-05, 974, 626, 2349
0.00160653, 0.000100859, 0.000121288, 6.9598e-05, 986, 635, 4050
0.000172614, 8.2452e-05, 8.665e-05, 2.7419e-05, 984, 600, 2133
0.00049594, 0.000214025, 0.000279028, 0.000100896, 987, 630, 2511
0.000477983, 0.000183307, 0.000291767, 0.000101199, 1003, 612, 3105
0.00266758, 0.000121049, 0.000163178, 8.7117e-05, 998, 619, 3591
0.000392267, 0.00016693, 0.000223169, 7.0687e-05, 978, 576, 2376
0.000371251, 0.000154629, 0.000214229, 6.6787e-05, 1003, 621, 2133
0.000230262, 0.000117271, 0.00011067, 3.1305e-05, 1027, 570, 2025
0.00019943, 9.1208e-05, 0.000106655, 3.2124e-05, 1016, 620, 1917
0.000133824, 5.8384e-05, 7.3226e-05, 2.0673e-05, 1010, 558, 1755
0.000221202, 0.000101554, 0.00011838, 3.7382e-05, 1007, 598, 1998
0.000463657, 0.000198586, 0.000262257, 8.7433e-05, 1018, 600, 2565
0.00282179, 0.000184963, 0.000209849, 0.000135387, 1028, 644, 4239
0.0002104, 8.7833e-05, 0.000120985, 3.7396e-05, 994, 580, 1998
0.000267823, 0.000101721, 0.000164569, 5.5818e-05, 974, 617, 2835
0.000533936, 0.000202541, 0.000328773, 0.000119891, 997, 626, 3618
0.000387322, 0.000152732, 0.000230882, 8.1907e-05, 1000, 632, 3186
0.000208598, 9.5147e-05, 0.000112154, 3.3405e-05, 1022, 600, 1485
0.000384684, 0.000178358, 0.0002046, 7.2367e-05, 1053, 648, 3969
0.000214634, 7.3382e-05, 0.000137551, 4.4479e-05, 1047, 662, 3429
0.000281076, 9.2325e-05, 0.000183013, 5.6724e-05, 1081, 727, 3159
0.00269932, 0.000169222, 0.00030925, 0.000171737, 1033, 645, 6723
0.000468047, 0.000138783, 0.000324653, 0.000124172, 1003, 649, 4644
0.000349971, 0.000120353, 0.00022699, 7.7214e-05, 985, 641, 3078
0.00038897, 0.000164489, 0.000222443, 7.4825e-05, 964, 633, 2457
0.000470308, 0.000161897, 0.000305553, 0.000121414, 953, 646, 4266
0.000273233, 9.7857e-05, 0.000173652, 6.065e-05, 964, 624, 4077
0.00232195, 0.000128791, 0.000213038, 0.000120505, 985, 687, 5913
0.000546601, 0.000194075, 0.000349326, 0.000137318, 981, 644, 4212
0.000488615, 0.00019219, 0.000293852, 0.000104861, 977, 644, 3186
0.000420896, 0.000171575, 0.000245559, 8.0682e-05, 969, 613, 2565
0.000329042, 0.000139893, 0.000185007, 6.4904e-05, 990, 620, 2538
0.000288977, 0.00013667, 0.000150251, 4.2844e-05, 978, 585, 1512
0.000237281, 0.000109885, 0.000126211, 3.7666e-05, 981, 580, 1755
0.000183133, 7.8011e-05, 0.000101871, 3.2641e-05, 1010, 632, 2295
0.000387752, 0.000156159, 0.000229933, 7.0746e-05, 1036, 683, 2997
0.000614328, 0.000214618, 0.000396498, 0.00015056, 1038, 685, 4293
0.000570223, 0.000198121, 0.000370407, 0.000148117, 1022, 627, 4590
0.000403028, 0.000169878, 0.000231219, 7.6118e-05, 967, 641, 2403
0.000653689, 0.000199723, 0.000451013, 0.000188847, 1019, 662, 6723
0.000603831, 0.000198465, 0.000403143, 0.000142202, 1088, 782, 5535
0.00019768, 6.5482e-05, 0.00013045, 4.133e-05, 1014, 648, 4050
0.000174786, 6.3741e-05, 0.00010981, 3.1954e-05, 969, 646, 2673
0.000197886, 7.7218e-05, 0.000117002, 4.2754e-05, 992, 596, 3240
0.000491013, 0.000212145, 0.000276249, 9.2176e-05, 1026, 651, 2457
0.000278284, 0.000121226, 0.000152077, 5.1145e-05, 962, 547, 1944
0.000273566, 0.000118382, 0.000152258, 5.2501e-05, 963, 605, 1782
0.000268683, 0.000119571, 0.000147062, 4.9313e-05, 969, 571, 1998
0.000375961, 0.000156975, 0.000216718, 6.3026e-05, 969, 643, 1998
0.000299149, 0.000153258, 0.000143616, 4.1861e-05, 933, 504, 1269
0.000244974, 0.000121556, 0.000121073, 3.8079e-05, 944, 591, 1404
0.000135329, 5.8378e-05, 7.5399e-05, 1.9728e-05, 974, 552, 1350
0.000258568, 0.000133595, 0.000122868, 3.5268e-05, 967, 607, 1377
0.000302338, 0.000154106, 0.000145997, 4.3364e-05, 942, 542, 1431
