time,posi_x,posi_y,posi_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_rate,backup
51.399976968765259,0.917902059265149,4.420950277114675,1.637936933464902,-0.235707882822015,0.864661583410242,-0.069404488480412,-0.196351486670678,0.115919131806241,-0.004129452380684,1.566107188387307,-0.182191492919399,0.189593969587341,1.494126127071867,-0.011419616108795,1
51.410001993179321,0.915533671667161,4.429609048324675,1.637242201075825,-0.237593799816836,0.865812047508739,-0.069436356173942,-0.180491898549629,0.113958873007076,-0.002243080525070,1.603162193140354,-0.209231718218086,0.187378508034526,1.494009919764194,-0.011804132229971,1
51.420017480850220,0.913142190088920,4.438297419260546,1.636545786748806,-0.239322625394355,0.866943918572167,-0.069449467426210,-0.164236350125361,0.111733179951845,-0.000375697345515,1.638445516558425,-0.234317717373921,0.185019084922170,1.493889625914270,-0.012186021897664,1
51.430006027221680,0.910742809154272,4.446965981061330,1.635851817945588,-0.240881410126704,0.868048333289405,-0.069444025151371,-0.147695970541485,0.109274951252107,0.001460821088003,1.671778137488974,-0.257374612757609,0.182534937507641,1.493765968882769,-0.012563131843435,1
51.440003156661987,0.908328221207689,4.455647109945149,1.635157862377047,-0.242273446296032,0.869127186084687,-0.069420357622212,-0.130790727535625,0.106558195247088,0.003269303639841,1.714655069030413,-0.289733471630506,0.179042696181151,1.493638541649076,-0.012935159481724,1
51.450011730194092,0.905896334570505,4.464354024948894,1.634463025542573,-0.243496191202983,0.870178911201336,-0.069378718996318,-0.113390281363591,0.103477372279678,0.005041823653243,1.760817119877948,-0.325214925756941,0.175033402434327,1.493507189084232,-0.013303533396513,1
51.460012912750244,0.903455825874681,4.473061547154208,1.633769470527959,-0.244541387655431,0.871196939928011,-0.069319611498456,-0.095562125716177,0.100059682646991,0.006772107867218,1.804094087855724,-0.357807657205126,0.170993434382331,1.493372318539651,-0.013668107824337,1
51.469976425170898,0.901014773502017,4.481747050870399,1.633079134860022,-0.245403332488552,0.872175668672594,-0.069243713085341,-0.077382870893020,0.096344139915634,0.008455698288587,1.844439523857777,-0.387537488598406,0.166936564612563,1.493234334003074,-0.014027977084903,1
51.479997634887695,0.898553134082396,4.490487914277282,1.632386011234260,-0.246085264301266,0.873120787360241,-0.069150711342361,-0.058716499663493,0.092323897652978,0.010107262750140,1.882251604252738,-0.414751984072130,0.162829602031790,1.493092025929658,-0.014386353693124,1
51.490001440048218,0.896088546182475,4.499227619112356,1.631694724354137,-0.246577900943280,0.874023266424297,-0.069041512939822,-0.039707847532852,0.088049352456045,0.011715667097279,1.917314204185606,-0.439347069118775,0.158701913760694,1.492946320933552,-0.014740913889179,1
